date,client_type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2012-08-14,Client,209225,372566,731572,239341,427511,677783,844954,882824,173981,90707,94620,55727,2310779,2490032
2012-08-14,DII,26276,6261,12377,27414,142978,107088,0,0,65,0,0,0,288784,33675
2012-08-14,FII,423988,220490,264609,670678,549842,673103,275442,235267,20482,17665,28333,15184,1949689,1445394
2012-08-14,Pro,65814,125986,156414,227539,273465,206977,273400,546860,39373,25887,110948,63348,767930,1348081
2012-08-14,TOTAL,725303,725303,1164972,1164972,1393796,1664951,1393796,1664951,233901,134259,233901,134259,5317182,5317182
2012-08-16,Client,205975,366652,741111,236485,468914,671112,864749,885568,185856,92711,97477,56801,2365679,2507732
2012-08-16,DII,26221,6261,12298,27363,142978,117088,0,0,65,0,0,0,298650,33624
2012-08-16,FII,425637,222640,257156,677046,550847,677588,287123,246846,20373,18060,29567,15886,1949661,1479108
2012-08-16,Pro,66327,128607,155028,224699,274417,204147,285284,537521,38024,26186,117274,64270,764129,1357655
2012-08-16,TOTAL,724160,724160,1165593,1165593,1437156,1669935,1437156,1669935,244318,136957,244318,136957,5378119,5378119
2012-08-17,Client,192934,363771,736441,231686,465138,690894,883747,892807,187663,91554,98391,57123,2364624,2527525
2012-08-17,DII,26197,6261,11988,27340,142978,121088,0,0,0,0,0,0,302251,33601
2012-08-17,FII,436179,220306,255462,681316,581039,691977,290177,262812,19975,17744,27618,15861,2002376,1498090
2012-08-17,Pro,66063,131035,157902,221451,267415,194288,282646,542628,36803,25799,118432,62113,748270,1358305
2012-08-17,TOTAL,721373,721373,1161793,1161793,1456570,1698247,1456570,1698247,244441,135097,244441,135097,5417521,5417521
2012-08-21,Client,200395,380277,747757,236246,456969,795920,882435,941876,188368,101441,99804,58696,2490850,2599334
2012-08-21,DII,25709,6211,13153,27769,142978,121088,0,0,0,0,0,0,302928,33980
2012-08-21,FII,448749,219908,260482,687437,580661,693670,287278,270330,20080,18192,29454,19040,2021834,1513447
2012-08-21,Pro,71698,140155,168450,238390,278716,208109,289611,606581,39668,24694,118858,66591,791335,1460186
2012-08-21,TOTAL,746551,746551,1189842,1189842,1459324,1818787,1459324,1818787,248116,144327,248116,144327,5606947,5606947
2012-08-22,Client,200559,390438,759980,234606,461468,834531,866527,977802,192669,103091,100459,59406,2552298,2629238
2012-08-22,DII,25515,6211,13913,27536,142978,121088,0,0,0,0,0,0,303494,33747
2012-08-22,FII,450439,214253,263489,698049,593207,717108,294963,283481,20061,17752,29791,20033,2062056,1540570
2012-08-22,Pro,73269,138880,173581,250772,273462,214501,309625,625945,39516,24943,121996,66347,799272,1513565
2012-08-22,TOTAL,749782,749782,1210963,1210963,1471115,1887228,1471115,1887228,252246,145786,252246,145786,5717120,5717120
2012-08-23,Client,192555,387798,758327,237392,480966,827947,887691,957012,196551,102945,100714,60608,2559291,2631215
2012-08-23,DII,25203,6211,15396,26600,142978,121088,0,0,0,0,0,0,304665,32811
2012-08-23,FII,460399,224200,269055,703992,614241,741628,301754,306057,19406,18187,30342,18831,2122916,1585176
2012-08-23,Pro,77333,137281,178970,253764,250689,206011,299429,633605,38668,25969,123569,67662,777640,1515310
2012-08-23,TOTAL,755490,755490,1221748,1221748,1488874,1896674,1488874,1896674,254625,147101,254625,147101,5764512,5764512
2012-08-24,Client,188007,386654,774849,232324,497216,790044,853699,980578,206294,99144,101325,59536,2555554,2614116
2012-08-24,DII,23743,6276,14180,27361,138080,121088,0,0,0,0,0,0,297091,33637
2012-08-24,FII,467447,225701,266846,724198,597954,781574,302196,305836,18230,17045,32814,18699,2149096,1609444
2012-08-24,Pro,76263,136829,185341,257333,243837,193746,321192,600038,38306,26758,128691,64712,764251,1508795
2012-08-24,TOTAL,755460,755460,1241216,1241216,1477087,1886452,1477087,1886452,262830,142947,262830,142947,5765992,5765992
2012-08-27,Client,189368,395537,793401,229239,542044,764887,862578,976337,216579,91335,102223,57531,2597614,2623445
2012-08-27,DII,23308,6292,13706,27861,137920,134653,0,0,0,0,0,0,309587,34153
2012-08-27,FII,480776,225382,272685,749931,601233,777430,302917,321699,18503,15803,31540,16982,2166430,1648451
2012-08-27,Pro,82308,148549,183531,256292,245148,209966,360850,588900,35860,28722,137179,61347,785535,1553117
2012-08-27,TOTAL,775760,775760,1263323,1263323,1526345,1886936,1526345,1886936,270942,135860,270942,135860,5859166,5859166
2012-08-28,Client,191552,412736,810934,221984,578116,747795,888533,939227,221205,88312,103654,57590,2637914,2623724
2012-08-28,DII,23469,6292,12991,28333,137937,134653,0,0,0,0,0,0,309050,34625
2012-08-28,FII,523006,252173,271829,768460,605308,773737,307347,350734,18754,16500,27944,16222,2209134,1722880
2012-08-28,Pro,87676,154502,185030,262007,244715,208796,370196,575020,36053,30728,144414,61728,792998,1567867
2012-08-28,TOTAL,825703,825703,1280784,1280784,1566076,1864981,1566076,1864981,276012,135540,276012,135540,5949096,5949096
2012-08-29,Client,194752,415999,829165,221740,655370,691696,919878,881598,230838,86334,106444,58861,2688155,2604520
2012-08-29,DII,23321,6392,12506,29426,137937,134953,0,0,35,0,0,0,308752,35818
2012-08-29,FII,512308,243516,266431,779613,612530,758605,324203,354704,18353,15103,27429,14765,2183330,1744230
2012-08-29,Pro,85177,149651,180062,257385,234139,207226,395895,556178,37435,33904,152788,61715,777943,1573612
2012-08-29,TOTAL,815558,815558,1288164,1288164,1639976,1792480,1639976,1792480,286661,135341,286661,135341,5958180,5958180
2012-08-30,Client,161749,275157,676617,162935,316617,251975,542331,522475,62474,21743,32617,20805,1491175,1556320
2012-08-30,DII,22233,5616,6106,21077,132937,55827,0,0,35,0,0,0,217138,26693
